name,smol,best_recs,upcom
Lane Wells Jewelry Repair,1,"['M.I.Trading', 'Identity Diamonds', ""Kruger's Diamond Jewelers"", 'Stone Blessings Handmade Jewelry']","['M.I.Trading', 'Identity Diamonds', 'Stone Blessings Handmade Jewelry', 'Five Star Jewelry Brokers & Gemologists']"
DoubleTree by Hilton Hotel Austin,0,"['Residence Inn Austin South', 'Heart of Texas Motel', 'Fairfield Inn & Suites by Marriott Austin-University Area', 'Homewood Suites by Hilton Austin Downtown']","['Tru by Hilton Austin Airport', 'Hampton Inn Austin/Oak Hill', 'ARRIVE Austin', 'Residence Inn Austin North/Parmer Lane', 'Homewood Suites by Hilton Austin-Arboretum/NW']"
McKinley Chiropractic,1,"['Mauldin Heinrich Chiropractic Clinic', 'Kjar Chiropractic Clinic', 'City Limits Chiropractic', 'Lawson Chiropractic']","['Dow Chiropractic', 'Vacula Chiropractic', 'Kjar Chiropractic Clinic', 'Kramer Lane Chiropractic Clinic', 'Bee Caves Chiropractic & Scoliosis Center']"
Austin Regional Clinic: ARC Quarry Lake,0,"['Austin Diagnostic Clinic - Steiner Ranch', 'Prochnow Ross, MD', 'Getman William, MD', 'Thrive Medical Clinic']","['Prochnow Ross, MD', 'Getman William, MD', 'Thrive Medical Clinic', 'Fagerberg Marcia, MD', 'Miller Hillary, MD']"
Eurasia Sushi Bar & Seafood,0,"['Sakura Sushi & Bar', 'Aba', 'BarChi Sushi', 'Half Step']","['Rules & Regs', 'Mumtaz Market by G’Raj Mahal', 'Mi Bambuco Colombian Restaurant', 'Lustre Pearl East', 'Otoko']"
Austin Community College - Rio Grande Campus,0,"['Wizard Academy', 'Austin Community College - Riverside Campus', 'Hack Reactor Austin', 'University of Texas Tower']","['Wizard Academy', 'Hack Reactor Austin', 'Austin Acupuncture Clinic', 'Live The Language - Live In French', 'University of Texas Tower']"
Texas Global Passport Services,0,"['United States Postal Service', 'Perry-Castaneda Library', 'The University of Texas at Austin', 'University of Texas At Austin']","['University of Texas At Austin', 'Concordia University Texas', 'Worldwide Golf Adventures', 'Austin Community College - Eastview Campus', 'RSVPpassports']"
Wendy's,0,"[""Wendy's"", ""Wendy's"", 'Whataburger', 'Short Stop']","['The G Spot Wangs N Thangs', 'Burgerlicious', 'Los Chilakillers', 'Chick-fil-A', 'Island Thyme Grill']"
San Saba Spa,1,"['Garbo A Salon and Spa', 'Orange Blossom Skin Care', 'Boss Nails', 'HALINA Spa + Medical Rejuvenation']","['Orange Blossom Skin Care', 'HALINA Spa + Medical Rejuvenation', ""Cleopatra's Salon"", 'The Spa']"
Bernard Watch Co.,1,"['Ngoc Tran Jewelery', 'Copeland Jewelers', 'Hilderbrand Jewelers', 'Medical Express Psi']","['Hilderbrand Jewelers', 'Copeland Jewelers', 'Santa Fe Optical', 'E Z Frame Fixer']"
Catherine's Pet Sitting,1,"['Hound for Hound', ""JenniFurrr's Pet Sitting and Dog Walking"", 'Heavy Petters', 'Doug the Dog Walker']","['Hound for Hound', 'My Love Fur Paws Pet Care', 'Heavy Petters', ""JenniFurrr's Pet Sitting and Dog Walking""]"
Gabrielle's Salon and Extensions Boutique,1,"[""Asberry A'Salon"", 'San Saba Spa', 'Garbo A Salon and Spa', 'Birds Barbershop']","[""Asberry A'Salon"", 'San Saba Spa', 'Zig Zag Salon', ""Cleopatra's Salon""]"
Sunny Girl Spray Tan ATX,1,"['Tan Etc', 'Tan Etc', 'Austin Organic Tan', '360 Tans']","['Tan Etc', 'Austin Organic Tan', 'Tan Etc', 'Silk Hair Salon']"
Vox Veniae,1,"['Greater Mt. Zion Church', 'First Unitarian Universalist Church of Austin', 'Westminster Presbyterian', 'First United Methodist Church of Austin']","['Mosaic Church Austin', 'GTAustin', 'First United Methodist Church of Austin', 'Austin Ridge Bible Church', 'Christian Life Austin']"
Limestone Canyon Apartments,0,"['The Ballpark North', 'IMT Southpark', '3500 Westlake Apartments', 'Stonecreek Ranch Apartments']","['Water Marq', '422 at the Lake', 'Congress Square Apartments', 'AMLI Covered Bridge', 'Marquis at Treetops']"
Johnny Carino's,0,"['Olive Garden Italian Restaurant', 'The Grove Wine Bar & Kitchen', ""Nik's Italian Kitchen + Bar"", ""Roppolo's Pizzeria on Wheels""]","['Shortie’s Pizza & Grinders', ""Moody's Kitchen And Bar"", 'La Volpe', 'Pizza On Point', 'Ellis']"
Chillax Massage,1,"['Body Harmony Massage', 'Tranquility Massage Company', 'Mystic Massage', 'Vita Massage Therapy']","['Thai Massage By Paula', 'Austin Lymphatic', 'WellSpace Bodywork', 'Revive Massage Therapy', 'Brenda K Harte, RN LMT']"
April Realty Services,0,"['Agave Properties', 'Barkley Houses', 'ERA Bettinger Realtors', 'Twelve Rivers Realty & Management']","['Mike Minns - Atlas Realty', 'Owning Texas', 'The Taylor Company', 'Asterra Properties', 'Apartment Specialist']"
Austin General Dentistry,1,"['Midtown Dental Associates', 'Carus Dental Brodie Lane', 'Oak Hill Family Dental Center', 'Mason & McElveen Family Dentistry']","['Carus Dental Brodie Lane', 'Oak Hill Family Dental Center', 'Mason & McElveen Family Dentistry', 'Oak Hill Dental']"
McDonald's,0,"[""McDonald's"", ""McDonald's"", ""McDonald's"", ""McDonald's""]","['Sonic Drive-In', 'Burger Bar Campus', ""P. Terry's Burger Stand"", 'Starbucks', 'Fara Coffee']"
Chispas,0,"[""Torchy's Tacos"", 'Camino Real Restaurant', 'Maudie’s Hacienda', ""Tex-Mex Joe's""]","['Cafe Hornitos', 'El Secreto De Abuela', 'Tacodeli', 'Yucatan Tacos And More', 'Taqueria Piedra Grande']"
Newk's Eatery,0,"['California Pizza Kitchen at Barton Creek Square', 'Kitchen on the Bend', ""Domino's Pizza"", ""Domino's Pizza""]","[""Papa Murphy's"", 'Little Deli & Pizzeria', 'Cicis', 'Sixth and Waller', 'Potbelly Sandwich Shop']"
"James Hicks, MD",0,"['Austin Pulmonary Consultants', 'Seton Medical Tower', 'Hans Bengston MD', 'Fain Jerry D MD']","['Fain Jerry D MD', 'Austin Endoscopy Center', 'Wells Branch Medical Center', 'Douglas P Mumfrey, MD', 'Bushart Paul, MD']"
Zaika Indian Contemporary Cuisine,0,"['Saffron', 'Biryani Pot', 'Himalaya Kosheli', 'Bombay Walla']","['Saffron', 'Everest Cuisine', 'Renuka’s Kitchen', ""Willie's Bar-B-Que"", 'Taqueria Los Altos']"
E Resumes Austin,1,"['Résumé Goat', 'Ultimate Resumes LLC', 'Bg Staffing', 'Deep Eddy Psychotherapy']","['Ultimate Resumes LLC', 'Résumé Goat', 'Access to Culture', 'Deep Eddy Psychotherapy']"
Taqueria Peloncitos,1,"['Pollos Asados El norteño #2', 'Taqueria Rio Verde', ""Tita's"", 'Taqueria Los Chilangos']","['Grace Tamale House', 'Pollos Asados El norteño #2', ""Tita's"", 'Lolita La Tampiqueña']"
Golden Nails & Facial,1,"['Sweet Nails and Spa', 'Salons by JC', 'Onion Creek Nails and Spa', 'Happy Nails And Spa']","['Salons by JC', 'Artist Nail Salon & Day Spa', 'Paradise Nails', 'Premier Nails Spa']"
Oat Willie's,1,"[""Levi's Outlet Store"", 'Creatures Boutique', 'Good Company', 'Beehive']","[""Levi's Outlet Store"", 'Creatures Boutique', 'Good Company', 'Smoking Depot']"
Salon Austin,0,"['Great Clips', 'Scissors Sound Hair Salon', 'Crestview Barber Shop', ""Cal's Nail & Hair Salon""]","['Amaz For Hair', 'Scissors Sound Hair Salon', 'Crestview Barber Shop', 'Beauty Store', 'Expo Salon']"
Panda Express,0,"[""Wendy's"", ""Wendy's"", 'Subway', 'Sonic Drive-In']","['Mighty Fine Burgers Fries & Shakes', 'Compass Coffee', 'Epic Poke', 'Subway', 'Fitzhugh Brewing']"
